City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Lat,Lng,Hotel Name
450,Richards Bay,ZA,75.06,48,74,8.46,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
451,Khalkhal,IR,62.37,26,37,7.36,scattered clouds,37.6189,48.5258,Khalkhal Tourist Hotel
463,Natal,BR,77.22,83,0,6.91,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
464,Barinas,VE,72.09,96,55,2.19,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
465,Port Macquarie,AU,66.16,71,99,10.42,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
466,Contamana,PE,77.07,78,77,4.61,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
467,Acarau,BR,78.12,74,29,16.87,scattered clouds,-2.8856,-40.12,castelo pizzaria
468,Beitbridge,ZW,77.32,19,0,4.47,clear sky,-22.2167,30.0,Beitbridge Express Hotel
473,Buchanan,LR,76.03,91,92,3.67,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
474,Huarmey,PE,62.46,87,81,10.18,broken clouds,-10.0681,-78.1522,Hotel Miramar
477,Jijiga,ET,68.09,71,64,6.29,broken clouds,9.35,42.8,RAMAAS HOTEL
481,Rosarito,MX,61.77,40,0,6.33,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
484,Harper,LR,77.0,91,92,6.35,overcast clouds,4.375,-7.7169,Screensaver
485,Santa Lucia,ES,63.12,69,40,11.5,scattered clouds,27.9117,-15.5407,Las Tirajanas
486,Irbil,IQ,76.82,16,40,8.05,scattered clouds,36.1926,44.0106,Erbil International Hotel
487,Jalu,LY,69.78,59,0,6.6,clear sky,29.0331,21.5482,صاحبة الفخامة
497,Puerto Colombia,CO,77.09,84,89,7.31,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
498,Colac,AU,64.62,64,95,12.19,overcast clouds,-38.3333,143.5833,Otway Gate Motel
499,Oda,JP,68.77,89,100,12.44,overcast clouds,35.1833,132.5,Sky Hotel Oda
500,Erzin,TR,70.32,65,0,3.04,clear sky,36.9559,36.2,Artemis Otel
503,Beira,MZ,74.64,60,1,0.87,clear sky,-19.8436,34.8389,Beira Terrace Hotel
505,Sao Joao Da Barra,BR,68.86,88,69,8.99,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
508,Yoichi,JP,66.78,59,20,3.06,few clouds,43.2039,140.7703,Marumatta Farm 21
510,Ergani,TR,63.32,26,57,4.65,broken clouds,38.2653,39.7621,Serkan Hotel
512,Souillac,MU,79.36,83,75,5.75,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
518,Heishan,CN,62.73,64,51,14.38,broken clouds,41.6892,122.1128,Heishan Hotel
519,Asheboro,US,64.58,93,40,0.0,scattered clouds,35.7079,-79.8136,Hampton Inn Asheboro
523,Yongchang,CN,70.57,94,100,1.95,overcast clouds,30.0381,119.7317,Xinxin Honglou Hotel
524,Nanga Eboko,CM,68.07,99,100,1.39,overcast clouds,4.6833,12.3667,Motel Papi Palace
525,Iquitos,PE,78.84,89,75,0.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
528,Nanning,CN,68.45,79,100,17.29,light rain,22.8167,108.3167,Nanning Travelling With Hostel
529,Kruisfontein,ZA,65.64,48,82,4.38,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
531,Hutchinson,US,69.35,83,90,1.99,overcast clouds,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
533,Ponta Delgada,PT,66.92,88,40,3.44,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
538,Batemans Bay,AU,61.11,93,100,7.56,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
540,Marawi,PH,77.65,67,91,3.31,overcast clouds,7.9986,124.2928,Derogongan Residence
541,Lata,PT,60.06,46,0,4.47,clear sky,40.1629,-8.3327,Casa Maquia
542,Belmonte,BR,70.3,93,99,6.67,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
545,Maiduguri,NG,78.91,34,17,7.31,few clouds,11.8464,13.1603,Kagel Mari Police Station
547,Luena,AO,71.53,31,40,8.97,scattered clouds,-11.7833,19.9167,Hotel Kandamba
548,Anloga,GH,79.02,86,80,11.97,broken clouds,5.7947,0.8973,Pin Drop Hotel
549,Guarapari,BR,67.89,91,71,2.93,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
551,Vila Velha,BR,67.95,100,75,2.3,mist,-20.3297,-40.2925,Quality Suites Vila Velha
553,Olimpia,BR,73.62,60,0,4.88,clear sky,-20.7372,-48.9147,Hotel Savana
567,Seoul,KR,74.8,50,75,9.22,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
568,Antalaha,MG,76.73,79,91,7.67,light rain,-14.9003,50.2788,Hotel Vitasoa
569,Victor Harbor,AU,62.8,57,37,3.0,scattered clouds,-35.5667,138.6167,McCracken Country Club
572,Balkanabat,TM,69.49,16,6,16.06,clear sky,39.5108,54.3671,Nebitchi Hotel
573,Bartica,GY,77.32,99,87,0.96,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
576,Brigantine,US,65.01,96,39,6.62,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
577,Porto Novo,BJ,76.82,91,68,4.63,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
578,Lichinga,MZ,68.83,50,86,7.67,overcast clouds,-13.3128,35.2406,Residencial Bendiak
580,Nueva Loja,EC,70.3,99,100,4.34,heavy intensity rain,0.0847,-76.8828,Limoncocha Great Hotel
581,Ginda,IN,75.09,26,0,5.5,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
582,Camana,PE,61.61,91,100,11.59,overcast clouds,-16.6228,-72.7111,Hostal Morales
589,Itoigawa,JP,74.61,97,100,3.67,overcast clouds,37.0333,137.85,Hotel Route Inn Itoigawa
591,Atchison,US,64.4,78,82,15.7,broken clouds,39.563,-95.1216,"Quality Inn, Atchison"
600,Eirunepe,BR,73.15,95,98,2.8,overcast clouds,-6.6603,-69.8736,RECANTO SOCIALITE
603,Labrea,BR,74.43,98,89,3.29,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
605,Zhoucheng,CN,71.92,38,5,0.63,clear sky,35.9122,116.3117,Yingbin Restaurant
606,Okahandja,,72.84,32,0,12.3,clear sky,-21.9833,16.9167,Guesthouse Villa Nina
607,Nassau,US,64.87,93,1,0.0,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
611,Tallahassee,US,75.61,88,1,5.75,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
612,Los Llanos De Aridane,ES,64.15,73,0,6.91,clear sky,28.6585,-17.9182,Valle Aridane
613,Akhaldaba,GE,61.36,44,59,6.49,broken clouds,41.654,42.1516,Hotel Babus Marani
615,Santa Luzia,BR,65.3,77,0,0.0,clear sky,-19.7697,-43.8514,Pousada Chao Earth
616,Fairview,US,64.42,89,90,0.0,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
618,La Primavera,CO,72.32,95,95,2.17,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
625,Am Timan,TD,78.17,75,100,10.76,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
627,Karibib,,75.29,24,0,10.76,clear sky,-21.9333,15.8333,Auld Casa Guesthouse
635,San Jose De Guanipa,VE,74.71,90,68,5.21,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
637,El Jicaro,GT,74.5,91,53,1.23,broken clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
639,Tupelo,US,77.29,83,20,6.91,few clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
644,Santa Cruz,BO,74.66,88,99,8.05,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
645,Carutapera,BR,78.75,78,30,9.35,scattered clouds,-1.195,-46.02,Lidera
653,Kilindoni,TZ,77.9,77,93,10.47,light rain,-7.9139,39.6668,Bustani B&B
657,Nouadhibou,MR,66.18,94,4,13.8,clear sky,20.931,-17.0347,El Medina
659,Luanda,AO,74.01,83,60,7.31,broken clouds,-8.8368,13.2343,Hotel Fórum
660,Mizan Teferi,ET,66.4,91,56,1.63,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
664,Duluth,US,60.6,87,90,3.0,overcast clouds,46.7833,-92.1066,South Pier Inn
666,Sechura,PE,64.67,79,91,12.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
669,Goma,CD,70.81,63,88,0.54,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
671,Celestun,MX,77.36,78,1,13.47,clear sky,20.8667,-90.4,Posada Lilia
679,Gladstone,AU,78.78,78,75,16.11,light rain,-23.85,151.25,Highpoint International
680,Komsomolskiy,UZ,61.52,33,0,0.0,clear sky,40.4272,71.7189,Ikathouse
690,Suluq,LY,69.53,58,76,6.31,broken clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
