City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Shushtar,IR,32.0455,48.8567,89.26,16,3,1.74,clear sky
120,Sambava,MG,-14.2667,50.1667,77.34,74,91,9.98,light rain
121,Kaeo,NZ,-35.1,173.7833,60.33,59,21,8.5,few clouds
122,Sambalpur,IN,21.45,83.9667,90.63,57,35,2.73,scattered clouds
123,Lavrentiya,RU,65.5833,-171.0,30.92,78,100,12.77,overcast clouds
124,Cherskiy,RU,68.75,161.3,0.12,94,84,3.31,broken clouds
125,Broome,US,42.2506,-75.833,62.56,91,90,1.01,overcast clouds
126,Hithadhoo,MV,-0.6,73.0833,83.7,73,86,17.78,overcast clouds
127,Chokurdakh,RU,70.6333,147.9167,19.45,96,100,6.55,overcast clouds
128,Krechevitsy,RU,58.617,31.401,43.79,96,100,2.51,light rain
129,Talara,PE,-4.5772,-81.2719,65.57,81,84,16.75,broken clouds
130,Chistoye,RU,56.5375,43.0045,47.8,57,100,7.92,overcast clouds
131,Bernay,FR,49.1667,0.6667,51.04,93,77,3.06,broken clouds
132,Bontang,ID,0.1333,117.5,83.98,74,100,7.52,overcast clouds
133,Salta,AR,-24.7859,-65.4117,65.57,78,0,1.01,clear sky
134,Ellisras,ZA,-23.6649,27.7443,75.6,19,3,1.7,clear sky
135,Namibe,AO,-15.1961,12.1522,70.79,76,35,3.98,scattered clouds
136,Grand Gaube,MU,-20.0064,57.6608,79.38,75,26,5.99,light rain
137,Nuuk,GL,64.1835,-51.7216,34.41,93,20,16.11,few clouds
138,Isangel,VU,-19.55,169.2667,73.51,88,100,6.91,moderate rain
139,Bilibino,RU,68.0546,166.4372,-3.84,90,12,5.64,few clouds
140,Fort Nelson,CA,58.8053,-122.7002,33.39,93,90,2.3,overcast clouds
141,Thunder Bay,CA,48.4001,-89.3168,58.28,92,90,4.61,overcast clouds
142,Merauke,ID,-8.4667,140.3333,83.53,73,12,15.79,few clouds
143,Vilhena,BR,-12.7406,-60.1458,73.24,77,5,3.33,clear sky
144,Puerto Del Rosario,ES,28.5004,-13.8627,71.28,73,20,8.05,few clouds
145,Bredasdorp,ZA,-34.5322,20.0403,52.92,94,100,5.75,overcast clouds
146,Bonavista,CA,48.6499,-53.1147,48.11,95,100,24.81,overcast clouds
147,Vung Tau,VN,10.346,107.0843,83.93,76,100,17.13,overcast clouds
148,Akyab,MM,20.15,92.9,86.56,70,32,6.58,scattered clouds
149,Port Hardy,CA,50.6996,-127.4199,46.4,100,75,3.44,broken clouds
150,Udaipura,IN,23.0833,78.5,86.5,48,3,4.36,clear sky
151,Port Augusta,AU,-32.5,137.7667,64.54,30,94,23.98,overcast clouds
152,Valka,LV,57.7752,26.0101,44.58,74,100,4.09,overcast clouds
153,Cidreira,BR,-30.1811,-50.2056,64.26,95,47,14.65,scattered clouds
154,Kizukuri,JP,40.8061,140.3861,67.1,53,9,9.78,clear sky
155,Katobu,ID,-4.9408,122.5276,91.38,49,98,4.21,overcast clouds
156,Bitung,ID,1.4451,125.1824,94.05,70,100,9.04,overcast clouds
157,Cap-Aux-Meules,CA,47.3821,-61.8597,50.02,87,76,4.61,broken clouds
158,Abu Samrah,SY,35.3029,37.1841,73.51,41,11,6.98,few clouds
159,Bandarbeyla,SO,9.4942,50.8122,86.4,59,34,18.03,scattered clouds
160,La Ronge,CA,55.1001,-105.2842,30.45,93,1,3.44,clear sky
161,Guerrero Negro,MX,27.9769,-114.0611,65.23,56,0,17.0,clear sky
162,Riyadh,SA,24.6877,46.7219,80.74,8,1,5.03,clear sky
163,Ahipara,NZ,-35.1667,173.1667,54.5,71,35,12.12,scattered clouds
164,Sainte-Maxime,FR,43.3,6.6333,62.01,64,83,7.05,broken clouds
165,Lompoc,US,34.6391,-120.4579,55.92,77,1,0.0,clear sky
166,Dikson,RU,73.5069,80.5464,25.63,83,49,23.24,scattered clouds
167,Ilebo,CD,-4.3167,20.5833,73.44,93,91,0.67,overcast clouds
168,Saskylakh,RU,71.9167,114.0833,11.59,97,99,4.97,overcast clouds
169,Codrington,AU,-38.2667,141.9667,51.26,95,72,16.37,light rain
170,Shache,CN,38.4167,77.2406,63.3,12,32,6.67,scattered clouds
171,Upata,VE,8.0086,-62.3989,76.19,97,16,2.15,few clouds
172,Sisimiut,GL,66.9395,-53.6735,34.3,68,91,11.79,overcast clouds
173,Bani,DO,18.2833,-70.3333,77.86,85,100,3.42,overcast clouds
174,Trinidad,BO,-14.8333,-64.9,80.37,59,100,3.74,overcast clouds
175,Cehegin,ES,38.0924,-1.7985,54.66,81,0,2.33,clear sky
176,Leningradskiy,RU,69.3833,178.4167,20.05,96,100,4.45,overcast clouds
177,Qaanaaq,GL,77.484,-69.3632,29.88,96,98,10.22,overcast clouds
178,Camalu,MX,30.85,-116.0667,60.91,51,0,3.0,clear sky
179,Chokwe,MZ,-24.5333,32.9833,77.95,41,1,9.98,clear sky
180,Pesca,CO,5.55,-73.05,47.16,89,46,2.66,scattered clouds
181,Maceio,BR,-9.6658,-35.7353,72.84,100,20,3.44,few clouds
182,Jieshi,CN,22.8134,115.8257,78.94,85,100,23.09,light rain
183,Nantucket,US,41.2835,-70.0995,61.97,94,20,0.0,mist
184,Belaya Gora,RU,68.5333,146.4167,20.7,80,100,5.57,overcast clouds
185,Rocha,UY,-34.4833,-54.3333,58.89,96,81,5.75,broken clouds
186,Calvinia,ZA,-31.4707,19.776,58.82,25,0,3.44,clear sky
187,Oskemen,KZ,49.9565,82.6119,37.36,65,90,4.47,overcast clouds
188,Gisborne,NZ,-38.6533,178.0042,48.94,73,95,15.84,overcast clouds
189,San Cristobal,VE,7.7669,-72.225,64.49,97,67,2.84,broken clouds
190,Port Shepstone,ZA,-30.7414,30.455,69.03,82,45,7.18,scattered clouds
191,Alofi,NU,-19.0595,-169.9187,75.09,69,17,2.3,few clouds
192,Butaritari,KI,3.0707,172.7902,81.77,67,20,6.8,few clouds
193,Luganville,VU,-15.5333,167.1667,81.19,82,96,5.23,moderate rain
194,Stornoway,GB,58.2093,-6.3865,53.92,94,90,9.22,overcast clouds
195,Slave Lake,CA,55.2834,-114.769,37.38,52,1,8.05,clear sky
196,Cap Malheureux,MU,-19.9842,57.6142,79.47,75,26,5.99,light rain
197,Makat,KZ,47.6469,53.3463,55.45,37,83,20.33,broken clouds
198,Nome,US,64.5011,-165.4064,33.87,80,90,0.0,overcast clouds
199,Yaring,TH,6.8662,101.3689,91.44,57,99,9.44,overcast clouds
200,Beihai,CN,21.4833,109.1,69.8,75,100,39.73,overcast clouds
201,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.43,79,41,4.14,scattered clouds
202,Strasice,CZ,49.7355,13.7576,36.86,93,16,4.43,few clouds
203,Saint George,US,37.1041,-113.5841,49.62,66,90,1.99,overcast clouds
204,Pio,PH,15.0466,120.5181,80.04,87,100,0.83,overcast clouds
205,Coahuayana,MX,18.7333,-103.6833,76.64,94,95,3.42,overcast clouds
206,Pudozh,RU,61.8099,36.5345,42.4,93,100,4.59,moderate rain
207,Bubaque,GW,11.2833,-15.8333,82.6,74,100,5.95,light rain
208,Zyryanka,RU,65.75,150.85,21.69,93,100,10.42,overcast clouds
209,Mar Del Plata,AR,-38.0023,-57.5575,59.09,65,90,10.0,fog
210,Tessalit,ML,20.1986,1.0114,77.72,14,53,10.29,broken clouds
211,Kerchevskiy,RU,59.946,56.2884,47.08,83,69,6.93,broken clouds
212,Sibolga,ID,1.7427,98.7792,85.01,66,97,5.3,overcast clouds
213,Staryy Nadym,RU,65.6118,72.6842,31.98,96,100,14.92,light snow
214,Zaraza,VE,9.3503,-65.3245,73.36,97,19,0.56,light rain
215,Vagur,FO,61.4732,-6.8119,51.64,92,100,30.29,overcast clouds
216,Dyersburg,US,36.0345,-89.3856,69.71,94,1,3.44,clear sky
217,Natagaima,CO,3.6206,-75.0941,76.28,74,95,1.83,overcast clouds
218,Ancud,CL,-41.8697,-73.8203,50.43,89,100,17.09,overcast clouds
219,Mahebourg,MU,-20.4081,57.7,79.25,83,75,5.75,light rain
220,Saint Pete Beach,US,27.7253,-82.7412,80.02,79,21,5.01,few clouds
221,Adrar,MR,20.5022,-10.0711,80.71,14,85,7.23,overcast clouds
222,Bengkulu,ID,-3.8004,102.2655,81.81,81,92,6.46,overcast clouds
223,Laguna,US,38.421,-121.4238,58.01,40,1,3.44,clear sky
224,Innsbruck,AT,47.2627,11.3945,45.14,94,75,4.61,moderate rain
225,Makinsk,KZ,52.6292,70.4169,44.49,61,100,8.9,overcast clouds
226,Eureka,US,40.8021,-124.1637,50.74,76,98,1.01,overcast clouds
227,Den Helder,NL,52.9599,4.7593,53.98,74,90,5.99,overcast clouds
228,Necochea,AR,-38.5473,-58.7368,52.9,99,59,5.91,broken clouds
229,Kiunga,PG,-6.1219,141.2906,89.28,60,57,1.54,broken clouds
230,Chiredzi,ZW,-21.05,31.6667,76.53,25,0,3.4,clear sky
231,San Benito,US,36.6166,-121.0844,43.43,42,0,1.97,clear sky
232,Talnakh,RU,69.4865,88.3972,17.46,95,97,6.67,overcast clouds
233,Carnarvon,AU,-24.8667,113.6333,78.87,44,0,14.97,clear sky
234,Kostomuksha,RU,64.571,30.5767,38.44,94,96,3.58,overcast clouds
235,Dalhousie,IN,32.5333,75.9833,67.86,32,0,5.03,clear sky
236,Pimentel,PE,-6.8367,-79.9342,62.85,87,100,13.27,overcast clouds
237,Kirakira,SB,-10.4544,161.9205,82.63,72,35,3.06,scattered clouds
238,Tura,IN,25.5198,90.2201,89.78,61,52,2.01,broken clouds
239,Khagaria,IN,25.5,86.4833,91.56,49,1,7.43,clear sky
240,Hwange,ZW,-18.3693,26.5019,74.66,18,0,4.85,clear sky
241,Carupano,VE,10.6678,-63.2585,77.99,90,30,5.73,scattered clouds
242,Motygino,RU,58.1831,94.7592,31.96,42,91,6.82,overcast clouds
243,Severodvinsk,RU,64.5635,39.8302,35.71,85,99,10.71,overcast clouds
244,Kungurtug,RU,50.5994,97.5228,39.33,46,88,7.0,overcast clouds
245,Mildura,AU,-34.2,142.15,53.56,87,90,14.97,light rain
246,Luoyang,CN,34.6836,112.4536,69.22,47,10,1.12,clear sky
247,Georgetown,MY,5.4112,100.3354,91.33,66,20,7.0,few clouds
248,San Jose,US,37.3394,-121.895,56.08,52,1,3.44,clear sky
249,Torbay,CA,47.6666,-52.7314,47.57,96,90,17.27,light rain
250,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,0,18.41,clear sky
251,Inuvik,CA,68.3499,-133.7218,25.81,96,90,12.66,light snow
252,Ust-Maya,RU,60.4167,134.5333,28.99,55,100,8.72,overcast clouds
253,Labuhan,ID,-6.8844,112.2051,89.53,51,99,12.1,overcast clouds
254,Andenes,NO,69.3143,16.1194,37.38,87,75,9.22,broken clouds
255,Tunceli,TR,39.1083,39.5471,66.49,34,44,4.0,scattered clouds
256,Calhoun,US,42.2506,-85.0005,62.35,74,75,4.61,broken clouds
257,Haines Junction,CA,60.7522,-137.5108,31.95,93,95,2.3,light snow
258,Chapadinha,BR,-3.7417,-43.3603,76.69,78,67,5.14,broken clouds
259,Aswan,EG,24.0934,32.907,85.3,30,20,11.5,few clouds
260,Abnub,EG,27.2696,31.1511,71.82,42,75,8.19,broken clouds
